Sitio #;Sitio #;Sitio nombre;Fecha (m/d/a);Hora(0:00-24:00);Viento;Cielo;Rio;Especies;Num. 0-50;Num. >50-100;Num. >100;Sex;1;2;3;4;5;6;7;8;9;10;11;12;Sequence
22;22C;Finca de Julio;03/30/2016;11:05;2;0;0;MNIVAR;1;;;H;;;;;;;;;;;;;G/B/M
24;24C;Finca de Maria;03/17/2016;07.03;2;0;0;MOMMOM;2;;;;;;;;;;;;;;;;B/G/M
24;24C;Finca de Maria;03/17/2016;07.03;2;0;0;QUIMEX;1;;;;;;;;;;;;;;;;B/G/M
24;24C;Finca de Maria;03/17/2016;07.03;2;0;0;MELAUR;4;;;;;;;;;;;;;;;;B/G/M
24;24C;Finca de Maria;03/17/2016;07.03;2;0;0;PSAMON;2;;;;;;;;;;;;;;;;B/G/M
24;24C;Finca de Maria;03/17/2016;07.03;2;0;0;DIVDIV;1;;;;;;;;;;;;;;;;B/G/M
24;24C;Finca de Maria;03/17/2016;07.03;2;0;0;PSIMOR;2;;;;;;;;;;;;;;;;B/G/M
24;24C;Finca de Maria;03/17/2016;07.03;2;0;0;CARPUS;1;;;;;;;;;;;;;;;;B/G/M
24;24C;Finca de Maria;03/17/2016;07.03;2;0;0;GLABRA;1;;;;;;;;;;;;;;;;B/G/M
24;24C;Finca de Maria;03/17/2016;07.03;2;0;0;AULPRA;2;;;;;;;;;;;;;;;;B/G/M
24;24C;Finca de Maria;03/17/2016;07.03;2;0;0;SETMAG;1;;;M;;;;;;;;;;;;;B/G/M
19;19C;Finca de Mario;3/8/2016;07:24;1;1;0;PSIHOL;15;;;;;;;;;;;;;;;;G/B/M
19;19C;Finca de Mario;3/8/2016;07:24;1;1;0;PSAWAG;10;;;;;;;;;;;;;;;;G/B/M
19;19C;Finca de Mario;3/8/2016;07:24;1;1;0;DIVDIV;2;;;;;;;;;;;;;;;;G/B/M
19;19C;Finca de Mario;3/8/2016;07:24;1;1;0;PSAMON;3;;;;;;;;;;;;;;;;G/B/M
19;19C;Finca de Mario;3/8/2016;07:24;1;1;0;MOMMOM;1;;;;;;;;;;;;;;;;G/B/M
19;19C;Finca de Mario;3/8/2016;07:24;1;1;0;OREPER;2;;;;;;;;;;;;;;;;G/B/M
19;19C;Finca de Mario;3/8/2016;07:24;1;1;0;MELAUR;1;;;;;;;;;;;;;;;;G/B/M
19;19C;Finca de Mario;3/8/2016;07:24;1;1;0;COLRUB;1;;;;;;;;;;;;;;;;G/B/M
19;19C;Finca de Mario;3/8/2016;07:24;1;1;0;PSIMOR;2;;;;;;;;;;;;;;;;G/B/M
19;19C;Finca de Mario;3/8/2016;07:24;1;1;0;CRYSOU;;1;;;;;;;;;;;;;;;G/B/M
19;19C;Finca de Mario;3/8/2016;07:24;1;1;0;GLABRA;1;;;;;;;;;;;;;;;;G/B/M
42;42C;Finca de Melvin;03/26/2016;11:15;2;0;0;MELAUR;2;;;;;;;;;;;;;;;;B/G/M
42;42C;Finca de Melvin;03/26/2016;11:15;2;0;0;ICTPLU;1;;;;;;;;;;;;;;;;B/G/M
42;42C;Finca de Melvin;03/26/2016;11:15;2;0;0;SETVIR;3;;;M;;;;;;;;;;;;;B/G/M
42;42C;Finca de Melvin;03/26/2016;11:15;2;0;0;TURGRA;1;;;;;;;;;;;;;;;;B/G/M
42;42C;Finca de Melvin;03/26/2016;11:15;2;0;0;SETMAG;1;;;H;;;;;;;;;;;;;B/G/M
