Site;Sitio #;Sitio nombre;Fecha (m/d/a);Hora(0:00-24:00);Viento;Cielo;Rio;Especies;Num. 0-50;Num. >50-100;Num. >100;Sex;1;2;3;4;5;6;7;8;9;10;11;12;Sequence;Nota
9;9F;Finca de Norma (S Edge);03/15/2016;07:47;0;0;0;MELFOR;1;;;;;;;;;;;;;;;;G/B/M;
9;9F;Finca de Norma (S Edge);03/15/2016;07:47;0;0;0;BASRUF;1;;;;;;;;;;;;;;;;G/B/M;
9;9F;Finca de Norma (S Edge);03/15/2016;07:47;0;0;0;CANMOD;1;;;;;;;;;;;;;;;;G/B/M;
9;9F;Finca de Norma (S Edge);03/15/2016;07:47;0;0;0;SETVIR;2;;;M;;;;;;;;;;;;;G/B/M;
9;9F;Finca de Norma (S Edge);03/15/2016;07:47;0;0;0;MNIVAR;2;;;M;;;;;;;;;;;;;G/B/M;
9;9F;Finca de Norma (S Edge);03/15/2016;07:47;0;0;0;TROAED;1;;;;;;;;;;;;;;;;G/B/M;
9;9F;Finca de Norma (S Edge);03/15/2016;07:47;0;0;0;ACCCHI;1;;;;;;;;;;;;;;;;G/B/M;
9;9F;Finca de Norma (S Edge);03/15/2016;07:47;0;0;0;HYLLEU;1;;;M;;;;;;;;;;;;;G/B/M;
9;9F;Finca de Norma (S Edge);03/15/2016;07:47;0;0;0;GLABRA;1;;;;;;;;;;;;;;;;G/B/M;
9;9F;Finca de Norma (S Edge);03/15/2016;07:47;0;0;0;OREPER;2;;;M,H;;;;;;;;;;;;;G/B/M;
10;10C;Finca de Agusto Rojas;3/8/2016;10:25;0;0;0;SALATR;1;;;;;;;;;;;;;;;;G/B/M;
10;10C;Finca de Agusto Rojas;3/8/2016;10:25;0;0;0;CARPUS;1;;;M;;;;;;;;;;;;;G/B/M;
10;10C;Finca de Agusto Rojas;3/8/2016;10:25;0;0;0;TROCAL;1;;;;;;;;;;;;;;;;G/B/M;
10;10C;Finca de Agusto Rojas;3/8/2016;10:25;0;0;0;SALMAX;1;;;;;;;;;;;;;;;;G/B/M;
10;10C;Finca de Agusto Rojas;3/8/2016;10:25;0;0;0;GLABRA;1;;;;;;;;;;;;;;;;G/B/M;
10;10C;Finca de Agusto Rojas;3/8/2016;10:25;0;0;0;SETVIR;1;;;H;;;;;;;;;;;;;G/B/M;
10;10C;Finca de Agusto Rojas;3/8/2016;10:25;0;0;0;VIRPHI;3;;;;;;;;;;;;;;;;G/B/M;
10;10C;Finca de Agusto Rojas;3/8/2016;10:25;0;0;0;AMARUT;2;;;;;;;;;;;;;;;;G/B/M;
10;10C;Finca de Agusto Rojas;3/8/2016;10:25;0;0;0;EMPFLT*;1;;;;;;;;;;;;;;;;G/B/M;
10;10C;Finca de Agusto Rojas;02/23/2016;07:40;4;1;0;VERCRY;1;;;M;;;;;;;;7;10;12;5;8;B/G/M;Individuo observado anillado
10;10C;Finca de Agusto Rojas;02/23/2016;07:40;4;1;0;BASRUF;1;;;;;;;;;;;;;;;;B/G/M;
10;10C;Finca de Agusto Rojas;02/23/2016;07:40;4;1;0;MELAUR;1;;;;;;;;;;;;;;;;B/G/M;
10;10C;Finca de Agusto Rojas;02/23/2016;07:40;4;1;0;CARPUS;1;;;M;;;;;;;;;;;;;B/G/M;
10;10C;Finca de Agusto Rojas;02/23/2016;07:40;4;1;0;AULPRA;1;;;;;;;;;;;;;;;;B/G/M;
10;10C;Finca de Agusto Rojas;02/23/2016;07:40;4;1;0;PSAMON;1;;;;;;;;;;;;;;;;B/G/M;
10;10C;Finca de Agusto Rojas;02/23/2016;07:40;4;1;0;DUMCAR;1;;;;;;;;;;;;;;;;B/G/M;
10;10C;Finca de Agusto Rojas;02/23/2016;07:40;4;1;0;HENLEU;1;;;;;;;;;;;;;;;;B/G/M;
10;10C;Finca de Agusto Rojas;02/23/2016;07:40;4;1;0;SALATR;1;;;;;;;;;;;;;;;;B/G/M;
12;12C;Finca de Ovidio;02/112016;11:00;0;2;0;VERCRY;1;;;H;;;;;;;;;;10;;;G/B/M;
12;12C;Finca de Ovidio;02/112016;11:00;0;2;0;MELAUR;3;;;;;;;;;;;;;;;;G/B/M;
12;12C;Finca de Ovidio;02/112016;11:00;0;2;0;PIOSEN;6;;;;;;;;;;;;;;;;G/B/M;
12;12C;Finca de Ovidio;02/112016;11:00;0;2;0;CARPUS;1;;;M;;;;;;;;;;;;;G/B/M;
12;12C;Finca de Ovidio;02/112016;11:00;0;2;0;PSAMON;4;;;;;;;;;;;;;;;;G/B/M;
12;12C;Finca de Ovidio;02/112016;11:00;0;2;0;SETVIR;1;;;H;;;;;;;;;;;;;G/B/M;
12;12C;Finca de Ovidio;02/112016;11:00;0;2;0;SETPEN;1;;;M;;;;;;;;;;;;;G/B/M;
12;12C;Finca de Ovidio;02/112016;11:00;0;2;0;VIRPHI;1;;;;;;;;;;;;;;;;G/B/M;
12;12C;Finca de Ovidio;02/112016;11:00;0;2;0;SETMAG;1;;;H;;;;;;;;;;;;;G/B/M;
12;12C;Finca de Ovidio;02/112016;11:00;0;2;0;SETRUT;1;;;H;;;;;;;;;;;;;G/B/M;
12;12C;Finca de Ovidio;02/112016;11:00;0;2;0;SETCIT;1;;;M;;;;;;;;;;;;;G/B/M;
12;12C;Finca de Ovidio;02/112016;11:00;0;2;0;PSIMOR;2;;;;;;;;;;;;;;;;G/B/M;
12;12C;Finca de Ovidio;03/18/2016;09:18;0;0;0;VERCRY;1;;;M;;;;;;;;;;15;;;B/G/M;
12;12C;Finca de Ovidio;03/18/2016;09:18;0;0;0;VERCRY;1;;;H;;;;;;;;;;;10;10;B/G/M;
12;12C;Finca de Ovidio;03/18/2016;09:18;0;0;0;VERPIN;1;;;M;;;;;;;;;;;10;12;B/G/M;
12;12C;Finca de Ovidio;03/18/2016;09:18;0;0;0;CORATR;1;;;;;;;;;;;;;;;;B/G/M;
12;12C;Finca de Ovidio;03/18/2016;09:18;0;0;0;SETCIT;1;;;M;;;;;;;;;;;;;B/G/M;
12;12C;Finca de Ovidio;03/18/2016;09:18;0;0;0;CARPUS;1;;;M;;;;;;;;;;;;;B/G/M;
12;12C;Finca de Ovidio;03/18/2016;09:18;0;0;0;LEPSOU;2;;;;;;;;;;;;;;;;B/G/M;
12;12C;Finca de Ovidio;03/18/2016;09:18;0;0;0;TURGRA;1;;;;;;;;;;;;;;;;B/G/M;
12;12C;Finca de Ovidio;03/18/2016;09:18;0;0;0;PSAWAG;1;;;;;;;;;;;;;;;;B/G/M;
12;12C;Finca de Ovidio;03/18/2016;09:18;0;0;0;OREPER;2;;;;;;;;;;;;;;;;B/G/M;
12;12C;Finca de Ovidio;03/18/2016;09:18;0;0;0;ELAFOR;1;;;;;;;;;;;;;;;;B/G/M;
12;12C;Finca de Ovidio;03/18/2016;09:18;0;0;0;TOLSUL;1;;;;;;;;;;;;;;;;B/G/M;
12;12C;Finca de Ovidio;03/18/2016;09:18;0;0;0;SETVIR;1;;;M;;;;;;;;;;;;;B/G/M;
12;12C;Finca de Ovidio;03/18/2016;09:18;0;0;0;SETRUT;1;;;H;;;;;;;;;;;;;B/G/M;
12;12C;Finca de Ovidio;03/18/2016;09:18;0;0;0;SETMAG;1;;;M;;;;;;;;;;;;;B/G/M;
12;12C;Finca de Ovidio;03/18/2016;09:18;0;0;0;SETPEN;2;;;H,M;;;;;;;;;;;;;B/G/M;
12;12C;Finca de Ovidio;03/18/2016;09:18;0;0;0;BASRUF;1;;;;;;;;;;;;;;;;B/G/M;
12;12C;Finca de Ovidio;03/18/2016;09:18;0;0;0;VIRPHI;1;;;;;;;;;;;;;;;;B/G/M;
12;12C;Finca de Ovidio;03/30/2016;09:26;2;0;0;SALATR;1;;;;;;;;;;;;;;;;G/B/M;
12;12C;Finca de Ovidio;03/30/2016;09:26;2;0;0;CARPUS;1;;;M;;;;;;;;;;;;;G/B/M;
12;12C;Finca de Ovidio;03/30/2016;09:26;2;0;0;TOLSUL;1;;;;;;;;;;;;;;;;G/B/M;
12;12C;Finca de Ovidio;03/30/2016;09:26;2;0;0;ICTPLU;1;;;;;;;;;;;;;;;;G/B/M;
12;12C;Finca de Ovidio;03/30/2016;09:26;2;0;0;EMPFLT*;1;;;;;;;;;;;;;;;;G/B/M;
12;12C;Finca de Ovidio;03/30/2016;09:26;2;0;0;VIRPHI;1;;;;;;;;;;;;;;;;G/B/M;
12;12C;Finca de Ovidio;03/30/2016;09:26;2;0;0;TURGRA;1;;;;;;;;;;;;;;;;G/B/M;
12;12C;Finca de Ovidio;03/30/2016;09:26;2;0;0;VIRFLF*;1;;;;;;;;;;;;;;;;G/B/M;
12;12C;Finca de Ovidio;03/30/2016;09:26;2;0;0;SETRUT;1;;;H;;;;;;;;;;;;;G/B/M;
12;12C;Finca de Ovidio;03/30/2016;09:26;2;0;0;SETMAG;1;;;M;;;;;;;;;;;;;G/B/M;
12;12C;Finca de Ovidio;03/30/2016;09:26;2;0;0;SETVIR;1;;;M;;;;;;;;;;;;;G/B/M;
13;13F;Zapote Fragment;2/11/2016;12:05;1;2;2;VERCRY;1;;;M;6;12;;;;;;;;;;;G/B/M;
13;13F;Zapote Fragment;2/11/2016;12:05;1;2;2;TITSEM;1;;;;;;;;;;;;;;;;G/B/M;
